RS	station	elevation
1423.08	44.737	-1.086
1423.08	44.737	1.43
1423.08	44.737	2.634
1423.08	45.038	2.634
1423.08	45.038	1.724
1423.08	47.137	1.724
1423.08	50.41	3.9
1423.08	53.41	3.9
1423.08	60.39	0.41
1476.03	0.0	2.659
1476.03	2.481	3.9
1476.03	5.481	3.9
1476.03	8.781	1.7
1476.03	10.881	1.7
1476.03	10.881	2.61
1476.03	11.181	2.61
1476.03	11.181	1.41
1476.03	11.181	-1.106
1476.03	41.18	-1.106
1476.03	41.18	1.41
1476.03	41.18	2.614
1476.03	41.481	2.614
1476.03	41.481	1.704
1476.03	43.58	1.704
1476.03	46.874	3.9
1476.03	49.874	3.9
1476.03	53.439	2.118
1523.24	0.0	1.124
1523.24	5.553	3.9
1523.24	8.553	3.9
1523.24	11.853	1.7
1523.24	13.953	1.7
1523.24	13.953	2.61
1523.24	14.253	2.61
1523.24	14.253	1.41
1523.24	14.253	-1.106
1523.24	44.252	-1.106
1523.24	44.252	1.41
1523.24	44.252	2.614
1523.24	44.553	2.614
1523.24	44.553	1.704
1523.24	46.652	1.704
1523.24	49.942	3.9
1523.24	52.942	3.9
1523.24	59.957	0.393
1576.36	0.0	1.914
1576.36	3.972	3.9
1576.36	6.972	3.9
1576.36	10.302	1.68
1576.36	12.402	1.68
1576.36	12.402	2.59
1576.36	12.702	2.59
1576.36	12.702	1.39
1576.36	12.702	-1.126
1576.36	42.701	-1.126
1576.36	42.701	1.39
1576.36	42.701	2.594
1576.36	43.002	2.594
1576.36	43.002	1.684
1576.36	45.101	1.684
1576.36	48.425	3.9
1576.36	51.425	3.9
1576.36	56.72	1.253
1623.32	0.0	0.715
1623.32	6.371	3.9
1623.32	9.371	3.9
1623.32	12.701	1.68
1623.32	14.801	1.68
1623.32	14.801	2.59
1623.32	15.101	2.59
1623.32	15.101	1.39
1623.32	15.101	-1.126
1623.32	45.1	-1.126
1623.32	45.1	1.39
1623.32	45.1	2.594
1623.32	45.401	2.594
1623.32	45.401	1.684
1623.32	47.5	1.684
1623.32	50.833	3.9
1623.32	53.833	3.9
1623.32	61.377	0.128
1672.6	0.0	0.888
1672.6	6.028	3.902
1672.6	9.028	3.902
1672.6	12.388	1.662
1672.6	14.488	1.662
1672.6	14.488	2.572
1672.6	14.788	2.572
1672.6	14.788	1.372
1672.6	14.788	-1.145
1672.6	44.787	-1.145
1672.6	44.787	1.372
1672.6	44.787	2.576
1672.6	45.088	2.576
1672.6	45.088	1.666
1672.6	47.187	1.666
1672.6	50.55	3.902
1672.6	53.55	3.902
1672.6	58.936	1.208
1723.35	0.0	0.936
1723.35	5.928	3.9
1723.35	8.928	3.9
1723.35	12.288	1.66
1723.35	14.388	1.66
1723.35	14.388	2.57
1723.35	14.688	2.57
1723.35	14.688	1.37
1723.35	14.688	-1.146
1723.35	44.687	-1.146
1723.35	44.687	1.37
1723.35	44.687	2.574
1723.35	44.988	2.574
1723.35	44.988	1.664
1723.35	47.087	1.664
1723.35	50.45	3.9
1723.35	53.45	3.9
1723.35	60.608	0.321
1775.4	0.0	1.114
1775.4	5.551	3.89
1775.4	8.551	3.89
1775.4	11.926	1.64
1775.4	14.026	1.64
1775.4	14.026	2.55
1775.4	14.326	2.55
1775.4	14.326	1.35
1775.4	14.326	-1.166
1775.4	44.325	-1.166
1775.4	44.325	1.35
1775.4	44.325	2.554
1775.4	44.626	2.554
1775.4	44.626	1.644
1775.4	46.725	1.644
1775.4	50.103	3.89
1775.4	53.103	3.89
1775.4	57.169	1.857
1824.14	0.0	1.111
1824.14	5.558	3.89
1824.14	8.558	3.89
1824.14	11.933	1.64
1824.14	14.033	1.64
1824.14	14.033	2.55
1824.14	14.333	2.55
1824.14	14.333	1.35
1824.14	14.333	-1.166
1824.14	44.331	-1.166
1824.14	44.331	1.35
1824.14	44.331	2.554
1824.14	44.633	2.554
1824.14	44.633	1.644
1824.14	46.731	1.644
1824.14	50.11	3.89
1824.14	53.11	3.89
1824.14	59.914	0.488
1880.37	0.0	0.621
1880.37	6.537	3.89
1880.37	9.537	3.89
1880.37	12.942	1.62
1880.37	15.042	1.62
1880.37	15.042	2.53
1880.37	15.342	2.53
1880.37	15.342	1.33
1880.37	15.342	-1.186
1880.37	45.341	-1.186
1880.37	45.341	1.33
1880.37	45.341	2.534
1880.37	45.642	2.534
1880.37	45.642	1.624
1880.37	47.741	1.624
1880.37	51.151	3.89
1880.37	54.151	3.89
1880.37	59.616	1.157
1925.56	0.0	0.733
1925.56	6.313	3.89
1925.56	9.313	3.89
1925.56	12.718	1.62
1925.56	14.818	1.62
1925.56	14.818	2.53
1925.56	15.118	2.53
1925.56	15.118	1.33
1925.56	15.118	-1.186
1925.56	45.117	-1.186
1925.56	45.117	1.33
1925.56	45.117	2.534
1925.56	45.418	2.534
1925.56	45.418	1.624
1925.56	47.517	1.624
1925.56	50.926	3.89
1925.56	53.926	3.89
